指标名称,在规则中,在状态CSV中,丢失方向,模块,来源类型,报表类型,提取器,适用范围,OK次数,失败次数,skip_external,skip_form_filter,N/A次数,missing次数,分类,判定,丢失原因,ICBC年报,ICBC半年报,ICBC_Q1,ICBC_Q3,茅台年报,茅台半年报,茅台Q1,茅台Q3
加：资产减值准备,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
卖出回购业务资金净减少额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
卖出回购业务资金净增加额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
卖出回购金融资产,Y,Y,in_both,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
发放贷款及垫款的净减少额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
发放贷款及垫款的净增加额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
发行债券收到的现金,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
发行同业存单收到的现金,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
发行存款证收到的现金,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
发行永续债收到的现金,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
取得子公司、合营联营企业及其他营业单位支付的现金净额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
取得子公司及其营业单位支付的现金净额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
取得投资收益所收到的现金,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
取得联营及合营公司支付的现金净额,Y,Y,in_both,cashflow,report,年报/半年报/季报,python:table_row,universal[*],0,8,0,0,0,0,lost:no_value,lost,Section found in all tests but no value extracted (all 8 tests failed with section_found/no_value or extract_fail),section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
